Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,
BUENOS AIRES,Trenque Lauquen,Berutti,6826010,- 0,- 0,- 0,282,- 0,- 0,- 0,- 0,282,
BUENOS AIRES,Tres Arroyos,Claromecó,6833020,329,- 0,- 0,595,- 0,- 0,- 0,734,1.658,
BUENOS AIRES,Tres Arroyos,Copetonas,6833030,- 0,- 0,- 0,1,- 0,- 0,- 0,89,90,
BUENOS AIRES,Tres Arroyos,Lin Calel,6833040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,11,11,
BUENOS AIRES,Tres Arroyos,Micaela Cascallares  (Est. Cascallares),6833050,- 0,- 0,- 0,1,- 0,- 0,- 0,155,156,
BUENOS AIRES,Tres Arroyos,Orense,6833060,- 0,- 0,1,246,407,- 0,- 0,146,800,
BUENOS AIRES,Tres Arroyos,Reta,6833070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,224,224,
BUENOS AIRES,Tres Arroyos,San Francisco de Bellocq,6833080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,120,120,
BUENOS AIRES,Tres Arroyos,San Mayol,6833090,- 0,- 0,- 0,- 0,9,- 0,- 0,11,20,
BUENOS AIRES,Tres Arroyos,Tres Arroyos,6833100,1.352,14.525,61,1.513,61,1,- 0,903,18.416,
BUENOS AIRES,Tres De Febrero,11 De Septiembre,6840010,34,1.181,- 0,5,1,1,- 0,- 0,1.222,
BUENOS AIRES,Tres De Febrero,Caseros,6840010,3.191,22.642,2,8.778,25,- 0,- 0,2,34.640,
BUENOS AIRES,Tres De Febrero,Churruca,6840010,14,834,- 0,1.543,- 0,- 0,- 0,- 0,2.391,
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,550,5.184,- 0,811,2,- 0,- 0,- 0,6.547,
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,314,11.567,67,14.121,117,3,- 0,4,26.193,
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,189,2.533,- 0,- 0,- 0,- 0,- 0,- 0,2.722,
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,141,1.877,- 0,546,3,- 0,- 0,5,2.572,
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,1.210,5.544,- 0,52,18,- 0,- 0,- 0,6.824,
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,218,4.982,1,2.601,6,- 0,- 0,- 0,7.808,
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,1.568,3.358,- 0,7,12,- 0,- 0,438,5.383,
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,159,2.717,- 0,7.814,16,- 0,- 0,- 0,10.706,
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,312,4.995,- 0,954,- 0,1,- 0,1,6.263,
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,366,6.158,- 0,1.313,8,- 0,- 0,1,7.846,
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,299,7.132,- 0,5.788,3,- 0,- 0,- 0,13.222,
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,141,2.022,- 0,654,3,- 0,- 0,- 0,2.820,
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,93,724,1,136,319,- 0,- 0,94,1.367,
BUENOS AIRES,Vicente López,Carapachay,6861010,966,5.363,1,2.051,2,- 0,- 0,- 0,8.383,
BUENOS AIRES,Vicente López,Florida,6861010,1.400,14.599,2,6.370,6,- 0,- 0,2,22.379,
BUENOS AIRES,Vicente López,Florida Oeste,6861010,334,5.468,- 0,3.171,5,1,- 0,245,9.224,
BUENOS AIRES,Vicente López,La Lucila,6861010,336,4.208,1,1.257,1,- 0,- 0,- 0,5.803,
BUENOS AIRES,Vicente López,Munro,6861010,687,9.186,8,5.621,10,1,- 0,1,15.514,
BUENOS AIRES,Vicente López,Olivos,6861010,1.468,24.218,5,9.253,10,1,- 0,- 0,34.955,
BUENOS AIRES,Vicente López,Vicente López,6861010,338,9.861,3,3.218,17,- 0,- 0,1,13.438,
BUENOS AIRES,Vicente López,Villa Adelina,6861010,- 0,566,- 0,1.036,- 0,- 0,- 0,- 0,1.602,
BUENOS AIRES,Vicente López,Villa Martelli,6861010,987,5.325,1,4.905,3,1,- 0,375,11.597,
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,5.967,- 0,- 0,5.036,91,- 0,- 0,- 0,11.094,
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,- 0,- 0,2,- 0,- 0,- 0,- 0,82,84,
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,129,- 0,- 0,483,- 0,- 0,- 0,- 0,612,
BUENOS AIRES,Villarino,Médanos,6875060,417,375,2,- 0,- 0,- 0,- 0,103,897,
BUENOS AIRES,Villarino,Pedro Luro,6875070,393,582,- 0,1.664,1,- 0,- 0,550,3.190,
BUENOS AIRES,Villarino,Argerich,6875010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,29,29,
BUENOS AIRES,Villarino,Teniente Origone,6875080,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
BUENOS AIRES,Villarino,Country Los Medanos,6875025,- 0,- 0,- 0,- 0,- 0,- 0,- 0,267,267,
BUENOS AIRES,Zárate,Lima,6882040,1,1.833,- 0,1,- 0,2,- 0,- 0,1.837,
BUENOS AIRES,Zárate,Zárate,6882050,2.447,24.539,- 0,78,700,5,- 0,982,28.751,
BUENOS AIRES,AMBA,OTROS,Sin Datos,- 0,- 0,- 0,35,- 0,- 0,- 0,13,48,
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,140.791,1.240.125,2.145,129.218,29.585,57,- 0,5.758,1.547.679,
CATAMARCA,Ambato,El Bolsón,10007030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,El Rodeo,10007040,- 0,- 0,- 0,- 0,- 0,1,- 0,152,153,
CATAMARCA,Ambato,La Puerta,10007060,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,5,
CATAMARCA,Ambato,Las Chacritas,10007070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,Los Varela,10007110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Ambato,Los Talas,10007100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,66,66,
CATAMARCA,Ancasti,Ancasti,10014010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Andalgalá,Andalgalá,10021020,846,- 0,- 0,144,1,2,- 0,203,1.196,
CATAMARCA,Andalgalá,Chaquiago,10021030,- 0,- 0,- 0,9,- 0,1,- 0,14,24,
CATAMARCA,Andalgalá,El Potrero,10021070,- 0,- 0,- 0,13,- 0,- 0,- 0,- 0,13,
CATAMARCA,Andalgalá,Aconquija,10021010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Andalgalá,El Alamito,10021050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,20,20,
CATAMARCA,Andalgalá,La Aguada,10021080,- 0,- 0,- 0,11,- 0,- 0,- 0,5,16,
CATAMARCA,Andalgalá,La Mesada,10021010,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1,
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6,
CATAMARCA,Belén,Belén,10035020,- 0,- 0,- 0,- 0,- 0,4,- 0,- 0,4,
CATAMARCA,Belén,Hualfín,10035070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,Londres,10035110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,El Durazno,10035050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Belén,Las Juntas,10035100,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Belén,Puerta de San José,10035140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Capayán,10042030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Chumbicha,10042040,150,- 0,- 0,5,- 0,1,- 0,474,630,
CATAMARCA,Capayán,Colonia del Valle,10042050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,- 0,- 0,- 0,10,- 0,1,- 0,9,20,
CATAMARCA,Capayán,Coneta,10042080,- 0,- 0,- 0,10,- 0,1,- 0,- 0,11,
CATAMARCA,Capayán,Huillapima,10042100,- 0,- 0,- 0,5,- 0,2,- 0,9,16,
CATAMARCA,Capayán,Miraflores,10042120,- 0,- 0,- 0,7,- 0,2,- 0,10,19,
CATAMARCA,Capayán,San Martín,10042130,- 0,- 0,- 0,- 0,- 0,7,- 0,- 0,7,
CATAMARCA,Capayán,Los Angeles,10042110,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Capital,El Pantanillo,10049020,11,13,- 0,2,- 0,2,- 0,- 0,28,
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,8.238,10.473,1,38.963,- 0,1,- 0,14,57.690,
CATAMARCA,El Alto,El Alto,10056010,- 0,- 0,- 0,- 0,- 0,1,- 0,28,29,
CATAMARCA,El Alto,Tapso,10056050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,La Paz,Icaño,10070070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,La Paz,Recreo,10070140,183,9,- 0,1.619,- 0,1,- 0,5,1.817,
CATAMARCA,La Paz,San Antonio,10070150,- 0,- 0,- 0,- 0,- 0,- 0,- 0,26,26,
CATAMARCA,La Paz,Quirós,10070120,- 0,- 0,- 0,- 0,- 0,- 0,- 0,27,27,
CATAMARCA,Paclín,La Merced,10077050,72,- 0,- 0,- 0,- 0,4,- 0,5,81,
CATAMARCA,Paclín,La Viña,10077060,- 0,- 0,- 0,- 0,- 0,- 0,- 0,10,10,
CATAMARCA,Paclín,Las Lajas,10077070,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Paclín,San Antonio,10077100,- 0,- 0,- 0,- 0,- 0,1,- 0,7,8,
CATAMARCA,Pomán,Mutquin,10084060,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Pomán,Pomán,10084070,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CATAMARCA,Pomán,San Miguel,10084090,- 0,- 0,- 0,- 0,- 0,- 0,- 0,7,7,
CATAMARCA,Pomán,Saujil,10084100,- 0,- 0,- 0,- 0,- 0,1,- 0,169,170,
CATAMARCA,Pomán,Siján,10084110,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Pomán,Colpes,10084030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,16,16,
CATAMARCA,Santa María,La Loma,10091100,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa María,San José,10091140,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa María,Santa María,10091150,- 0,- 0,- 0,- 0,2.151,1,- 0,- 0,2.152,
CATAMARCA,Santa Rosa,Alijilán,10098010,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa Rosa,Lavalle,10098040,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Santa Rosa,Los Altos,10098050,- 0,- 0,- 0,- 0,- 0,1,- 0,6,7,
CATAMARCA,Tinogasta,Fiambalá,10105110,- 0,- 0,- 0,8,- 0,2,- 0,7,17,
CATAMARCA,Tinogasta,Tinogasta,10105180,510,- 0,- 0,1.828,- 0,2,- 0,- 0,2.340,
CATAMARCA,Valle Viejo,El Portezuelo,10112010,- 0,- 0,- 0,- 0,- 0,6,- 0,- 0,6,
CATAMARCA,Valle Viejo,San Isidro,10112040,- 0,- 0,- 0,2.457,- 0,- 0,- 0,5,2.462,
CATAMARCA,Valle Viejo,Santa Rosa,10112030,- 0,- 0,- 0,759,- 0,- 0,- 0,5,764,
CATAMARCA,Valle Viejo,Villa Dolores,10112030,- 0,- 0,- 0,103,- 0,- 0,- 0,5,108,
CATAMARCA,Valle Viejo,Sumalao,10112030,- 0,- 0,- 0,1,- 0,- 0,- 0,5,6,
CATAMARCA,Valle Viejo,Polcos,10112030,- 0,- 0,- 0,213,- 0,- 0,- 0,- 0,213,
CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,- 0,- 0,- 0,18,- 0,- 0,- 0,- 0,18,
CATAMARCA,Valle Viejo,El Bañado,10112030,- 0,- 0,- 0,7,- 0,- 0,- 0,- 0,7,
CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,- 0,- 0,- 0,4,- 0,- 0,- 0,- 0,4,
CATAMARCA,Fray Mamerto Esquiú,San José,10063040,- 0,- 0,- 0,1,- 0,- 0,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,- 0,- 0,- 0,26,- 0,- 0,- 0,- 0,26,
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,5,5,
CHACO,12 de Octubre,Gancedo,22036010,- 0,- 0,- 0,26,- 0,2,- 0,76,104,
CHACO,12 de Octubre,General Pinedo,22036030,195,- 0,- 0,472,- 0,2,- 0,- 0,669,
CHACO,1º de Mayo,Colonia Benítez,22126020,153,- 0,- 0,11,- 0,1,- 0,2,167,
CHACO,1º de Mayo,Margarita Belén,22126030,382,- 0,- 0,180,- 0,- 0,- 0,77,639,
CHACO,2 de Abril,Hermoso Campo,22039010,- 0,28,- 0,175,- 0,1,- 0,- 0,204,
CHACO,2 de Abril,Itín,22039020,- 0,- 0,- 0,30,478,- 0,- 0,- 0,508,
CHACO,25 de Mayo,Colonia Aborigen,22168010,- 0,- 0,- 0,- 0,- 0,- 0,- 0,46,46,
CHACO,25 de Mayo,Machagai,22168020,369,311,- 0,45,- 0,- 0,- 0,269,994,
CHACO,9 de Julio,Las Breñas,22105010,1.293,- 0,- 0,74,- 0,1,- 0,- 0,1.368,
CHACO,Almirante Brown,Concepción del Bermejo,22007010,- 0,- 0,- 0,373,- 0,2,- 0,230,605,
CHACO,Almirante Brown,Los Frentones,22007020,- 0,- 0,- 0,344,- 0,1,- 0,- 0,345,
CHACO,Almirante Brown,Pampa del Infierno,22007030,- 0,- 0,- 0,1.375,- 0,6,- 0,65,1.446,
CHACO,Almirante Brown,Taco Pozo,22007050,- 0,- 0,- 0,332,- 0,3,- 0,- 0,335,
CHACO,Bermejo,General Vedia,22014010,153,- 0,- 0,30,- 0,1,- 0,205,389,
CHACO,Bermejo,Isla del Cerrito,22014020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,Bermejo,La Leonesa,22014030,556,- 0,- 0,- 0,- 0,- 0,- 0,228,784,
CHACO,Bermejo,Las Palmas,22014040,- 0,- 0,- 0,46,- 0,1,- 0,306,353,
CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,- 0,- 0,- 0,14,- 0,- 0,- 0,51,65,
CHACO,Bermejo,Puerto Eva Perón,22014070,- 0,- 0,- 0,15,- 0,1,- 0,41,57,
CHACO,Chacabuco,Charata,22028010,1.924,- 0,- 0,1.186,- 0,2,- 0,230,3.342,
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,3.559,112,- 0,5.972,24,2,- 0,116,9.785,
CHACO,Fray Justo Santa María De Oro,Chorotis,22043010,- 0,- 0,- 0,- 0,25,- 0,- 0,- 0,25,
CHACO,Fray Justo Santa María De Oro,OTROS,Sin Datos,- 0,- 0,- 0,- 0,60,- 0,- 0,- 0,60,
CHACO,Fray Justo Santa María De Oro,Santa Sylvina,22043020,- 0,32,- 0,- 0,950,1,- 0,- 0,983,
CHACO,General Belgrano,Corzuela,22049010,161,- 0,- 0,48,- 0,1,- 0,28,238,
CHACO,General Donovan,La Escondida,22056010,51,209,- 0,189,- 0,2,- 0,- 0,451,
CHACO,General Donovan,La Verde,22056020,14,27,- 0,39,305,2,- 0,- 0,387,
CHACO,General Donovan,Lapachito,22056030,1,27,- 0,61,- 0,- 0,- 0,- 0,89,
CHACO,General Donovan,Makallé,22056040,38,370,- 0,- 0,- 0,1,- 0,- 0,409,
CHACO,General Güemes,El Espinillo,22063010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,General Güemes,El Sauzal,22063020,- 0,- 0,- 0,- 0,- 0,1,- 0,62,63,
CHACO,General Güemes,El Sauzalito,22063030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,General Güemes,Fortín Lavalle,22063040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,36,36,
CHACO,General Güemes,Fuerte Esperanza,22063050,- 0,- 0,- 0,8,- 0,1,- 0,- 0,9,
CHACO,General Güemes,Juan José Castelli,22063060,599,- 0,- 0,294,- 0,- 0,- 0,690,1.583,
CHACO,General Güemes,Miraflores,22063070,- 0,- 0,- 0,- 0,- 0,- 0,- 0,630,630,
CHACO,General Güemes,Nueva Pompeya,22063080,- 0,- 0,- 0,1,- 0,3,- 0,308,312,
CHACO,General Güemes,Villa Río Bermejito,22063100,4,- 0,- 0,194,- 0,2,- 0,222,422,
CHACO,General Güemes,Wichi,22063110,- 0,- 0,- 0,- 0,- 0,1,- 0,91,92,
CHACO,Independencia,Avia Terai,22070010,85,- 0,- 0,42,- 0,1,- 0,- 0,128,
CHACO,Independencia,Campo Largo,22070020,125,- 0,- 0,482,3,- 0,- 0,- 0,610,
CHACO,Libertad,Laguna Blanca,22077030,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHACO,Libertad,Puerto Tirol,22077040,541,1,- 0,114,- 0,- 0,- 0,163,819,
CHACO,Libertador General San Martín,Ciervo Petiso,22084010,- 0,- 0,- 0,- 0,- 0,1,- 0,97,98,
CHACO,Libertador General San Martín,General José de San Martín,22084020,511,1.130,- 0,5.083,- 0,- 0,- 0,450,7.174,
CHACO,Libertador General San Martín,La Eduvigis,22084030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,Libertador General San Martín,Laguna Limpia,22084040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,32,32,
CHACO,Libertador General San Martín,Pampa Almirón,22084050,- 0,- 0,- 0,26,- 0,- 0,- 0,55,81,
CHACO,Libertador General San Martín,Pampa del Indio,22084060,- 0,- 0,- 0,25,- 0,2,- 0,757,784,
CHACO,Libertador General San Martín,Presidencia Roca,22084070,- 0,- 0,- 0,13,- 0,2,- 0,196,211,
CHACO,Maipú,Tres Isletas,22091010,461,- 0,- 0,- 0,- 0,- 0,- 0,77,538,
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,122,73,- 0,264,- 0,1,- 0,516,976,
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,- 0,- 0,- 0,37,- 0,1,- 0,- 0,38,
CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,2.756,1,- 0,852,- 0,- 0,- 0,406,4.015,
CHACO,O Higgins,La Clotilde,22112010,- 0,32,- 0,78,116,1,- 0,- 0,227,
CHACO,O Higgins,La Tigra,22112020,1,- 0,- 0,- 0,252,1,- 0,- 0,254,
CHACO,O Higgins,San Bernardo,22112030,147,- 0,- 0,14,38,3,- 0,- 0,202,
CHACO,OTROS,OTROS,Sin Datos,- 0,- 0,- 0,- 0,24,- 0,- 0,- 0,24,
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,216,327,- 0,58,- 0,- 0,- 0,- 0,601,
CHACO,Quitilipi,Quitilipi,22133010,884,- 0,- 0,69,- 0,- 0,- 0,123,1.076,
CHACO,Quitilipi,Villa El Palmar,22133020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,43,43,
CHACO,San Fernando,Barranqueras,22140010,115,3.865,- 0,146,- 0,- 0,- 0,15,4.141,
CHACO,San Fernando,Basail,22140020,98,67,- 0,- 0,- 0,1,- 0,57,223,
CHACO,San Fernando,Fontana,22140040,- 0,- 0,- 0,110,- 0,- 0,- 0,70,180,
CHACO,San Fernando,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,3,- 0,- 0,3,
CHACO,San Fernando,Puerto Vilelas,22140050,- 0,- 0,- 0,9,- 0,1,- 0,- 0,10,
CHACO,San Fernando,Resistencia,22140060,11.650,55.188,5,25.299,2,6,- 0,223,92.373,
CHACO,San Lorenzo,Samuhú,22147010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHACO,San Lorenzo,Villa Berthet,22147020,- 0,- 0,- 0,32,- 0,1,- 0,755,788,
CHACO,Sargento Cabral,Capitán Solari,22154010,- 0,- 0,- 0,81,- 0,- 0,- 0,- 0,81,
CHACO,Sargento Cabral,Colonia Elisa,22154020,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHACO,Sargento Cabral,Colonias Unidas,22154030,- 0,- 0,- 0,250,- 0,- 0,- 0,15,265,
CHACO,Sargento Cabral,Las Garcitas,22154050,- 0,- 0,- 0,- 0,- 0,1,- 0,119,120,
CHACO,Tapenagá,Charadai,22161010,- 0,- 0,- 0,27,- 0,1,- 0,- 0,28,
CHUBUT,Biedma,Arroyo Verde,26007010,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHUBUT,Biedma,Puerto Madryn,26007020,3.648,24.433,200,3.781,5.283,9,- 0,2.762,40.116,
CHUBUT,Biedma,Puerto Pirámide,26007030,- 0,- 0,- 0,- 0,- 0,1,- 0,37,38,
CHUBUT,Biedma,Quinta El Mirador,26007040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,22,22,
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,127,127,
CHUBUT,Cushamen,Cholila,26014020,- 0,- 0,1,- 0,- 0,1,- 0,- 0,2,
CHUBUT,Cushamen,El Hoyo,26014040,216,- 0,- 0,319,- 0,- 0,- 0,709,1.244,
CHUBUT,Cushamen,Epuyén,26014060,1.184,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1.184,
CHUBUT,Cushamen,Gualjaina,26014070,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHUBUT,Cushamen,Lago Puelo,26014090,315,- 0,- 0,59,- 0,- 0,- 0,723,1.097,
CHUBUT,Cushamen,Leleque,26014100,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHUBUT,Cushamen,El Maitén,26014050,- 0,- 0,- 0,- 0,- 0,- 0,- 0,1,1,
CHUBUT,Escalante,Comodoro Rivadavia,26021030,19.602,12.473,248,1.739,336,37,- 0,16.749,51.184,
CHUBUT,Escalante,Diadema Argentina,26021040,- 0,- 0,- 0,- 0,- 0,- 0,- 0,311,311,
CHUBUT,Escalante,Rada Tilly,26021050,1.143,1,34,1.206,54,- 0,- 0,443,2.881,
CHUBUT,Escalante,Acceso Norte,26021020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Escalante,Barrio Caleta Cordova,26021020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Florentino Ameghino,Camarones,26028010,- 0,- 0,- 0,- 0,- 0,1,- 0,208,209,
CHUBUT,Florentino Ameghino,Garayalde,26028020,- 0,- 0,- 0,- 0,- 0,- 0,- 0,3,3,
CHUBUT,Futaleufú,Corcovado,26035020,- 0,- 0,1,- 0,- 0,5,- 0,- 0,6,
CHUBUT,Futaleufú,Esquel,26035030,7.142,1.522,40,- 0,- 0,2,- 0,4.527,13.233,
CHUBUT,Futaleufú,Los Cipreses,26035050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Futaleufú,Trevelín,26035060,472,- 0,19,- 0,18,1,- 0,562,1.072,
CHUBUT,Futaleufú,Villa Futalaufquen,26035070,- 0,- 0,- 0,- 0,- 0,5,- 0,- 0,5,
CHUBUT,Futaleufú,Aldea Escolar,26035010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Futaleufú,Lago Rosario,26035040,- 0,- 0,- 0,- 0,- 0,2,- 0,- 0,2,
CHUBUT,Gaiman,28 de Julio,26042040,- 0,- 0,- 0,12,1,1,- 0,- 0,14,
CHUBUT,Gaiman,Dolavon,26042020,- 0,- 0,3,55,50,1,- 0,- 0,109,
CHUBUT,Gaiman,Gaiman,26042030,223,- 0,15,90,658,2,- 0,- 0,988,
CHUBUT,Gaiman,OTROS,Sin Datos,- 0,- 0,- 0,- 0,- 0,14,- 0,- 0,14,
CHUBUT,Gastre,Blancuntre,26049010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Gastre,El Escorial,26049020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Gastre,Lagunita Salada,26049040,- 0,- 0,- 0,- 0,- 0,1,- 0,7,8,
CHUBUT,Gastre,Yala Laubat,26049050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Gastre,Gastre,26049030,- 0,- 0,- 0,- 0,- 0,- 0,- 0,103,103,
CHUBUT,Languiñeo,Aldea Epulef,26056010,- 0,- 0,- 0,- 0,- 0,1,- 0,5,6,
CHUBUT,Languiñeo,Carrenleufú,26056020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Languiñeo,Colan Conhue,26056030,- 0,- 0,- 0,- 0,- 0,1,- 0,4,5,
CHUBUT,Languiñeo,Paso del Sapo,26056040,- 0,- 0,- 0,- 0,- 0,2,- 0,30,32,
CHUBUT,Languiñeo,Tecka,26056050,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Mártires,El Mirasol,26063010,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Mártires,Las Plumas,26063020,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Paso de Indios,Cerro Cóndor,26070010,- 0,1,- 0,- 0,- 0,1,- 0,- 0,2,
CHUBUT,Paso de Indios,Los Altares,26070020,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2,
CHUBUT,Paso de Indios,Paso de Indios,26070030,- 0,- 0,- 0,- 0,- 0,1,- 0,- 0,1,
CHUBUT,Rawson,Playa Unión,26077020,675,209,12,101,1,- 0,- 0,421,1.419,
CHUBUT,Rawson,Rawson,26077030,1.747,8.805,41,774,300,1,- 0,343,12.011,
CHUBUT,Rawson,Trelew,26077040,6.877,23.051,287,722,1.094,3,- 0,1.130,33.164,
CHUBUT,Rawson,Playa Magagna,26077010,- 0,1.700,- 0,- 0,- 0,- 0,- 0,3,1.703,
CHUBUT,Río Senguer,Aldea Apeleg,26084010,- 0,- 0,- 0,- 0,- 0,1,- 0,1,2,
